title,abstract,abstract_id
Direct seeding of native fruit tree species with economic benefits in a Brazilian Cerrado managed landscape,planting native species of economic interest is attractive to ecological restoration and biodiversity conservation because of their potential to generate income products and services combining socioeconomic and environmental demands direct seeding is a lowcost restoration technique compared to nurseryraised seedling planting but there is still a lack of information about restoration success in different savanna habitat types in brazil we tested direct seeding of six fruit tree species of the brazilian cerrado in a landscape compressed by five management regimes used by traditional farmers in a rural settlement in northern minas gerais state southeastern brazil we monitored germination survival growth and establishment for three years of the 9000seeds planted 187 germinated 298 survived and 89 were established three years after sowing eugenia dysenterica mart dc and dypterix alata vogel had higher germination survival and establishment rates and are thus the most appropriate species e dysenterica showed high rates on native and managed cerrado and d alata in agroforestry system hillside fields and lower field the species studied are well adapted to conditions of water scarcity and low soil fertility however phosphorus concentration may be a limiting factor to species growth our results suggest that direct seeding of fruit tree species of the cerrado is promising to some species and to others the sowing should be done with more seeds or using nurseryraised seedling the planting of fruit trees could be a practice that allow smallholders farmers to increase biodiversity at the same time that could contribute to their livelihoods 2022 the authors under exclusive licence to botanical society of sao paulo,119
Enhancing Fire Monitoring Method over Peatlands and Non-Peatlands in Indonesia Using Visible Infrared Imaging Radiometer Suite Data,indonesia needs a daily monitoring system due to its frequent fires and more importantly to assist stakeholders in the field in taking action to mitigate disasters our method simplified the number of hotspots for fieldbased purposes and was verified by comparing the pointbased poinths viirs visible infrared imaging radiometer suite 375mderived temperature anomalies hotspots and clusteredbased hotspots clusterhs our suggested method using euclidean clustering we calculated the distance between hotspot points and applied specific criteria to reduce the number of hotspots while aligning them closely with fire incidents we evaluated accuracy at different fire sizes burned areas peatlands and distances from the reported burn center we found that the accuracy increases at 15 km from the center of the fire for both point and clusterhs at 52 and 53 respectively for areas larger than 14 ha both types of hotspots yielded superior results of 83 clusterhs performs better on peatlands than nonpeatlands 62 vs 57 without diminishing the precision of the hotspot observation this study indicates that our method is reliable for assisting field stakeholders in the field in taking actions therefore this product could be implemented into indonesias daily hotspot monitoring 2023 by the authors,120
"Soil quality assessment of constructed Technosols: Towards the validation of a promising strategy for land reclamation, waste management and the recovery of soil functions",mine reclamation has long relied on reusing topsoil to mitigate mining impacts but recently constructed soils ie technosols have emerged as novel technologies for restoring post mining landscapes however their success depends on their ability to sustain soil functions to assess the efficiency of a limestone mine reclamation we measured the soil quality sq of a three sc3 and sevenyearold sc7 technosol under sugarcane and one 20yearold p20 technosol under pasture constructed with limestone spoil in southeastern brazil soil chemical physical and biological attributes were evaluated and compared with those of an adjacent natural soil ns rhodic lixisol we also tested the soil management assessment framework smaf for assessing the sq of the studied soils smaf was suitable to detect sq changes over the years of reclamation after three and seven years under sugarcane cultivation the technosols showed similar sq indexes 070 and 067 to that of the native soil sq 069 whereas after 20 years under pasture the sq 088 of p20 was superior to that of ns overall the technosols recovered most of the ecosystem services expected for healthy soils especially in p20 where carbon stocks were 27 times higher than in ns 821 vs 3035 mg c ha1 we highlight the importance of using soil quality assessment tools such as smaf in mine reclamation in summary technosols from limestone wastes could restore basic soil functions under tropical environmental conditions within only 20 years 2020 elsevier ltd,121
Adaptability of lettuce cultivars to planting in no-tillage on straw of Urochloa ruziziensis,the objective of this work was to evaluate the adaptability of different lettuce lactuca sativa cultivars grown in notillage on straw of ruzi grass urochloa ruziziensis as well as its effects on soil temperature and weed control in successive cultivations in the summer the treatments were carried out in a randomized complete block design with four replicates in a splitplot arrangement 24 in which soil management notillage on ruzi grass and convention tillage was the main plot and the different crisphead lettuce cultivars amanda solaris vanda and vera the subplots no difference was observed between cultivars for soil management notillage reduced the soil temperature by up to 37c and weed density by 37 times in comparison with conventional tillage ruzi grass promoted a greater bed conservation in comparison to with conventional tillage the notillage management of lettuce cultivated on ruzi grass straw resulted in a lower yield in the first crop due to excess straw in a similar yield in the second crop and in a greater yield in the third crop lettuce cultivated on ruzi grass straw in notillage management results in a greater sustainability in comparison with conventional tillage in three successive plantings 2018 embrapa o objetivo deste trabalho foi avaliar a adaptabilidade de cultivares de alface lactuca sativa ao plantio direto sobre palhada de capimcongo urochloa ruziziensis assim como seu efeito sobre a temperatura do solo e o controle de plantas daninhas em cultivos sucessivos no vero os tratamentos foram dispostos no delineamento experimental de blocos ao acaso com quatro repeties em arranjo de parcelas subdivididas 24 em que os manejos do solo plantio direto sobre capimcongo e plantio convencional constituram a parcela principal e as diferentes cultivares de alface tipo crespa amanda solaris vanda e vera as subparcelas as cultivares no diferiram entre si quanto ao manejo do solo o plantio direto reduziu a temperatura do solo em at 37c e a densidade de plantas daninhas em 37 vezes em comparao ao plantio convencional o capimcongo promoveu a maior conservao dos canteiros em comparao ao plantio convencional o plantio direto de alface sobre palhada de capimcongo resultou em produtividade menor no primeiro cultivo em razo do excesso de palha em produtividade semelhante no segundo cultivo e produtividade superior no terceiro cultivo o cultivo de alface em plantio direto sobre palhada de capimcongo resulta em maior sustentabilidade em comparao ao plantio convencional ao longo de trs cultivos sucessivos 2018 embrapa,122
"Participatory ecosystem service mapping to enhance community-based mangrove rehabilitation and management in Demak, Indonesia",assessment of mangrove ecosystem services es is essential to understand and manage the contribution of these ecosystems to the wellbeing of local communities they are the primary beneficiaries but their experience knowledge and information are frequently ignored in es assessment and mapping in this study a participatory resource mapping prm approach was applied using local knowledge and experience to analyze georeferenced information on mangrove ecosystem services local communities were involved from the beginning in method selection application evaluation and verification this inclusive participatory es mapping was conducted in two villages bedono and timbulsloko central java indonesia from 2014 to 2015 participants representing different community elements were involved in the mapping process they first created a historical map of the situation in their villages roughly between 1980 and 1999 before rehabilitation and then described the subsequent environmental changes the mapping exercise also documented different mangrove resources that are utilized by communities and identified key areas such as harvesting zones biodiversity hotspots erosion zones different fishing grounds and newly rehabilitated areas the maps reveal that integrating prm and indigenous georeferenced information can elicit past and contemporary information on changes in ecosystem service availability and use the results show that by involving local communities from the beginning the participatory es mapping can facilitate social learning provide the foundation for the creation of social capital and equip the community with sufficient spatial information to improve local mangrove management the participatory es mapping approach presented in this paper can be used as a model to support local and regional decisionmaking processes and to enhance communitybased mangrove management in other coastal regions in indonesia and beyond,123
A genetic approach for simulating persistence of reintroduced tree species populations in restored forests,tree populations in regions undergoing restoration are generally made up of few individuals isolated from neighboring populations and are found within a matrix of inhospitable humanmodified landscapes resulting negative genetic consequences such as inbreeding depression and genetic drift require mitigation strategies to maintain sufficient genetic diversity in restoration areas such strategies often involve seed sampling from many source trees with different provenances however the efficacy of these approaches has not been validated we present an individualbased spatial simulation model to evaluate the effects of 1differing levels of initial genetic diversity and 2different area sizes on short tens of yearsand midterm hundreds of yearsrestored population viability we demonstrate this approach and the use of our model with case study of centrolobium tomentosum a tropical tree species widely used in restoration projects in the atlantic forest of brazil our model and analysis framework can be applied in studies of tree species with different characteristics from tropical and temperate forests to assess population persistence in restoration sites as a function of genetic diversity and population size this knowledge can support planning of both restoration projects and management actions increasing the probability of restoration success while also reducing associated costs 2019 elsevier bv,124
"Community forest governance and synergies among carbon, biodiversity and livelihoods",forest landscape restoration has emerged as a key strategy to sequester atmospheric carbon and conserve biodiversity while providing livelihood cobenefits for indigenous peoples and local communities using a dataset of 314 forest commons in humandominated landscapes in 15 tropical countries in africa asia and latin america we examine the relationships among carbon sequestered in aboveground woody biomass tree species richness and forest livelihoods we find five distinct clusters of forest commons with cobenefits and tradeoffs on multiple dimensions the presence of a formal community management association and local participation in rulemaking are consistent predictors of multiple positive outcomes these findings drawn from a range of contexts globally suggest that empowered local forest governance may support multiple objectives of forest restoration our analysis advances understanding of institutional aspects of restoration while underscoring the importance of analysing the interconnections among multiple forest benefits to inform effective interventions for multifunctional tropical forestsforest restoration is emerging as a key climate mitigation strategy in this study the authors find that formalized local control and substantive involvement in rulemaking are associated with synergies for carbon sequestration biodiversity and rural livelihoods,125
Do alien species dominate plant communities undergoing restoration? A case study in the Brazilian savanna,among the principles established by the society for ecological restoration international ser is that the use of exotic species for restoration purposes should be avoided and this is outlined on the two first attributes expected of a restored ecosystem by the ser primer this recommendation is possibly based on the hypothesis that exotics will dominate the restored communities and jeopardize the local biodiversity we assessed the current plant community in an area of the brazilian cerrado undergoing restoration where 42 species 6 natives and 36 nonnatives were planted and compared it with the contiguous native community we aimed at verifying if the surrounding native community has been invaded by alien species and if the community being restored has been dominated by the latter not resembling the native flora eight years after planting the alien species were not recorded in the surrounding native ecosystem in the community undergoing restoration despite 94 of the planted trees being exotics 86 of the species they corresponded to only 3 of plants regenerating 14 of the species indicating that floristic similarity with the native vegetation is increasing over time we consider that the nonnative species planted do not offer threat to the native ecosystems in the vicinity and tend to be defeated by the natives in the long term even though public policies should prioritize and make feasible the use of native species better adapted to the harsh environmental conditions of the cerrado,126
"Study of Potential Ecotourism in Rehabilitation Zone of Argowulan Block, Bromo Tengger Semeru National Park",the research aimed to explore ecotourism potential determine the targeted visiting tourist design ecotourism activities and to optimize the management of rehabilitation zone at argowulan block bromo tengger semeru national park btsnp data collections of ecotourism potential object infrastructures targeted tourists and conditions of location were carried out by direct observation in the field interview and literature search data analysis used tabulation vac swot and ivi of plants species the results showed that the ecotourism potential of argowulan block included unique flora fauna forest ecosystem natural panorama culture and religious heritage of tengger hindunese community within location among the unique flora which can be found in the area was the endemic species of mentigi plant vaccinium varingefolium there was no tourist specificity who come to argowulan block because this location is yet to be promoted as a new destination area of btsnp the targeted potential tourists are those who visit mount penanjakan and those who are interested in reforestation at btsnp area special interest ecotourism themed edu restro tourism was a proposed ecotourism theme which was developed at argowulan block the activities involved under the proposed theme were tree planting tree adopting tree growth measurement and flora fauna observation these ecotourism activities werw distributed in five clusters wherein each cluster has different potential so the visitors may choose their specific activities offered from different clusters in addition it is possible join ecotourism activities in all the clusters the fact of this research shows the restored area might be managed for specific interest tourism without waiting for its recovery if it has a potential tourism the rehabilitation zone can be used for activities which generate revenue and profit to the area manager if the activities and visiting patterns are well planned and give conducive conditions for plant growth and safe habitat for fauna hence visiting tourists are not only benefiting from the conservation effort but they also themselves participate in the conservation activities planting forest protection forest fire mitigation track design is necessary to facilitate tourism activities in each cluster and regulate visitors circulations in the ordinance of p 56menhutii2006 about national park zonation there is no activity description to be applied in a rehabilitation zone the result of this research recommends reforming the ordinance of national park zonation,127
Greenhouse Gas Mitigation through Sustainable Intensification of Livestock Production in the Brazilian Cerrado,brazilian greenhouse gas emissions ghg are projected to reach 32 gigatonnes co2 eq by 2020 the government has made a voluntary commitment to reduce this figure by 40 per cent a reduction in deforestation and livestock mitigation measures are key components of this commitment focusing on the cerrado core central brazilian savannah we analyse abatement potential and costeffectiveness of ghg mitigation measures applicable to livestock production we focus on the role of intensification measures particularly pasture restoration and animal performance to meet the objectives of increasing beef production to meet higher demand while simultaneously reducing emissions we use a linear programming model that optimises pasture intensification levels according to biophysical and economic parameters and growth in beef demand we estimate changes in soil carbon stocks generated by pasture management and land use change according to a baseline projection beef production in the cerrado accounts for an average of approximately 122 million tonnes of co2 eq per year from 2010 to 2030 the results of our analysis suggest that by implementing costeffective measures projected emissions in the region could be reduced by around 24 per cent pasture restoration which will reduce deforestation is the largest contributor to these results,128
"Role of Tree Vegetation and Associated Environmental Factors on the Understory Herb-Layer Composition in a Reforested Area: A Study from ""Kulon Progo Community Forestry""",we assessed the understory herblayer species composition in response to tree vegetation and its associated environmental factors in the reforested area of the kulon progo community forestry yogyakarta indonesia the understory herblayer composition among different stand types including pinus pn aleuritesswietenia as swieteniaacacia sa melaleucaacacia ma and tectonadalbergia td was compared using some comparison analyses the influence of tree vegetation characteristics and associated environmental factors on the understory herblayer species was analyzed by employing canonical correspondence analysis cca our result showed variation in understory herblayer species composition despite equality in richness and diversity indices among all stand types the ma stand showed fewer shadetolerant species and the td stand exhibited the smallest number of shadeintolerant species seedling availability also varied between as and ma which contained fewer seedling species one of the main species in the two stands did not even regenerate moreover all indicator species in ma were shadeintolerant species with invasive characteristics while those in td were shadetolerant and semishadetolerant species cca showed that stand types held an important role in the herblayer species composition where the number of shadetolerant and seedling species commonly native to forest were directly proportional to tree canopy coverage silt proportion in soil texture and concentration of soil organic carbon yet inversely proportional to belowstand utilization in contrast the number of shadeintolerant species had positive correlation to belowstand utilization and inversely to other correlated factors our study also indicated the possibility of tree vegetation controlling several environmental factors where the increase in canopy coverage was followed by an increasing proportion of silt in soil texture and concentration of soil organic carbon as well as a decreasing percentage of belowstand utilization accordingly we recommend tree species enrichment with densecanopy trees and adaptive management of belowstand utilization for better forest development and tree regeneration this finding provides important knowledge for evaluation and improvement in the ecological restoration of degraded forests 2023 by the authors,129
"Adaptation of a spatially explicit individual tree-based growth and yield model and long-term comparison between reduced-impact and conventional logging in eastern Amazonia, Brazil",timber logging is one of the main land uses in the brazilian amazon despite its recognized potential as a sustainable activity logging is generally conducted in an unsustainable or predatory manner with significant negative environmental impact there is increasing pressure to adopt more sustainable practices and reducedimpact logging ril is gaining acceptance as a more environmentally benign alternative to unplanned conventional logging cl comparisons of these two harvest systems have largely focused on differences in efficiency financial and immediate impacts on stand structure residual timber stocks and the physical environment growth and yield simulation models allow longterm predictions about the response of forests to disturbance from harvesting information that is essential to determine the effects of different management systems and to establish systems for the regulation or control of timber that are compatible with sustainable forest management we describe the calibration of a spatially explicit individual treebased ecological model within the symforsimflora framework for forests located near paragominas in eastern amazonia data originated from an experiment comparing ril to cl within an area of 735 ha monitored over a period of 10 years we evaluated biological realism and accuracy of the model concluding that forest dynamics are adequately represented this model was used to evaluate longterm effects of ril and cl on the forest our results suggest that total and commercial volume recovery following ril are faster than following cl it takes 10 and 3040 years to recover total and commercial volume under ril while under cl it takes 3540 and over 60 years respectively despite benefits from ril as currently practiced this logging system does not result in longterm sustained timber yields reinforcing results from previous studies indicating that ril must be combined with appropriate systems for yield regulation in the absence of silvicultural treatments the model suggests that successive ril harvests at current intensities will produce stands dominated by pioneer species groups with few trees belonging to the emergent species group and an increased proportion of defective trees in commercial size classes these changes in stand composition present challenges to the longterm financial viability of ril as currently applied in the amazon region 2007 elsevier bv all rights reserved,130
A soil compaction diagnosis method for occasional tillage recommendation under continuous no tillage system in Brazil,soil compaction has reduced crop yield under continuous notillage systems nts and occasional tillage has been suggested as a mitigating measure the aim of this study was to suggest a moisture content range ideal for diagnosing and monitoring soil compaction and propose a criterion based on pr for making decisions regarding recommendation of occasional tillage after 10 years of cultivation under nts soil management practices were tested for mitigating soil compaction combining occasional tillage subsoiling or chisel plowing and chemical soil conditioning limestone or agricultural gypsum undisturbed soil samples were collected at three depths and pr was measured at seven soil matric potentials at 15 years after the installation of the experiment five pr models were tested in accordance with soil moisture content and validated for each treatment and soil depth the yields of soybean 20152016 and 20172018 crop seasons maize 20162017 crop season common bean 2017 second crop and wheat 2018 second crop were evaluated occasional tillage with subsoiling or chisel plowing under continuous nts led to an increase in grain yield in the three subsequent years an ideal range of soil water content for diagnosis of compaction irdc in a continuous nts area between the matric potentials of 003 and 050 mpa preferentially 010 mpa was suggested unlike the value of field capacity suggested in the literature based on the irdc a method was proposed for diagnosis and monitoring of soil compaction in continuous nts areas exhibiting restricted grain yield for the purpose of making decisions regarding occasional tillage an example of application of this method was tested and was successful 2019,131
Bigger is better: Improved nature conservation and economic returns from landscape-level mitigation,impact mitigation is a primary mechanism on which countries rely to reduce environmental externalities and balance development with conservation mitigation policies are transitioning from traditional projectbyproject planning to landscapelevel planning although this largerscale approach is expected to provide greater conservation benefits at the lowest cost empirical justification is still scarce using commercial sugarcane expansion in the brazilian cerrado as a case study we apply economic and biophysical steadystate models to quantify the benefits of the brazilian forest code fc under landscapeand propertylevel planning we find that fc compliance imposes small costs to business but can generate significant longterm benefits to nature supporting 32 37 additional species largely habitat specialists storing 593000 to 2280000 additional tons of carbon worth 69 million to 265 million pertains to us dollars and marginally improving surface water quality relative to propertylevel compliance we find that landscapelevel compliance reduces total business costs by 19 million to 35 million per 6year sugarcane growing cycle while often supporting more species and storing more carbon our results demonstrate that landscapelevel mitigation provides costeffective conservation and can be used to promote sustainable development,132
"Felids in an agricultural landscape in Sao Paulo, Brazil",we surveyed felids in an agricultural landscape in sao paulo brazil from july 2003 to june 2004 a total of 284 km was walked in transects distributed among the following landscape attributes semideciduous native forest fragments eucalyptus plantations sugarcane plantations and exotic pastures the diversity and abundance of felid species were evaluated in the mosaic and we tested possible differences in frequency of occurrence and species richness according to the land use type by using nested anova we found a total of five felid species and the analysis showed no differences for both frequency of occurrence and species richness we also compared the abundance of species found through studies using similar methodology in different areas by using the kruskalwallis test and no differences in abundance were found results demonstrate the difficulty of obtaining data about felid abundance even after one year of fieldwork however we could confirm the species occurrence in the area and the similarity found in species abundance in our region and in more conserved areas allows us to say that neotropical wild felids can survive in agricultural landscapes as long as native forest fragments remain in the area current environmental laws should thus be enforced in order to improve forest conservation and to mitigate the possible impacts of agriculture paper industry and livestock production on those species,133
Early responses of regeneration to weeding and herbicide application to control Guinea-grass in a 20-year-old Atlantic Forest undergoing restoration,among the invasive grasses harming natural ecosystems in brazil guineagrass megathyrsus maximus has received significant attention due to its high invasive potential and damage it causes to restoration sites here we show the response of seedlings 10cm to 1m and saplings 1m one year after guineagrass removal in a 20yearold restoration site in the atlantic forest thirty 10 20 m plots were installed and assigned into three treatments control mechanical removal using gastrimmers and mechanical removal followed by the application of roundup transorb r glyphosate forest canopy and grass cover were also assessed guineagrass was negatively correlated with woody species richness and abundance forest canopy cover was positively related to species richness and abundance and negatively related to guineagrass treatments applied were successful in controlling the plant invader and did not cause any significant reduction in the total abundance or richness of saplings after one year for seedlings however the abundance and richness of pioneer woody species increased over time with mechanical removal while the abundance and richness of nonpioneer woody species decreased in plots treated with herbicide we expect regeneration responses to continue to improve with time our results support the use of both herbicide and mechanical removal to reduce guineagrass in atlantic forest sites undergoing restoration although the use of herbicide lowers native seedling richness in the shortterm while mechanical removal may be better for small sites where it is more feasible and less demanding 2022 society for ecological restoration,134
Delimitation of Ecological Corridor Using Technological Tools,ecological corridors are effective strategies to address the environmental consequences of forest fragmentation by connecting fragmented areas through various techniques this study aims to propose the implementation of an ecological corridor in the itapemirim river basin in espirito santo brazil the specific objectives of this study are as follows delimiting the permanent preservation areas apps in the itapemirim river watershed and comparing land use and land cover within these areas the mapbiomas platform and landsat 8 satellite images were utilized to map land use and land cover while the criteria set by law no 12651 were followed to define the app boundaries the calculation of the landscape ecology indices and the identification of the forest fragments with the highest potential for ecological corridor implementation were conducted using the fuzzy logic the qgis 326 application along with the lecos 301 plugin and fragstats 42 were employed to characterize and quantify landscape ecology indices the costs assessment and determination of the optimal route for implementing the ecological corridor were performed considering bothdistance and physical impediments the least cost path algorithm was utilized taking into account land use and land cover app fragment potential slope and subnormal clusters evaluating land costs and expropriation expenses required to define the ecological corridor in the study area the identified forest fragments for inclusion in the ecological corridor were the caparao national park the serra das torres state natural monument and other selected fragments based on the application of fuzzy logic to landscape ecology indices the corridor route was determined using the least cost path algorithm considering various factors this study revealed that the predominant land use and land cover class in the area is pasture and a significant portion 6858 of the designated permanent preservation areas were in conflict with legal regulations the bare land value per hectare for pasture was the second highest among the land use and land cover categories accounting for 6428 of the total the priority area analysis indicated that 3186 of the region had high or very high importance for forest restoration while 4297 had low or very low priority the findings demonstrate that the least cost path algorithm coupled with a multicriteria decisionmaking approach using the analytic hierarchy process ahp is a valuable tool for planning and implementing ecological networks these methods effectively consider critical factors in decisionmaking processes related to the optimal location of the ecological corridor in conclusion this study provides insights into the implementation of an ecological corridor in the itapemirim river basin emphasizing the importance of considering multiple factors and utilizing appropriate methodologies for effective decisionmaking in ecological planning,135
Effects of organic and inorganic fertilizers on greenhouse gas (GHG) emissions in tropical forestry,the production of organic wastes tends to increase in a manner that is proportional to human population growth currently applying these wastes to soils is being considered as an alternative solution for the over production of organic waste however the levels of greenhouse gas ghg emissions from organic waste applications in tropical forestry are unknown the aim of the present study was to quantify soil carbon dioxide co2 nitrous oxide n2o and methane ch4 emissions from a reforestation project where trees calophyllum brasiliense were fertilized with different mineral and organic waste materials a randomized trial was established to measure soil ghg emissions from plots fertilized with sewage sludge compost ssc sewage sludge ss mineral fertilizer min fert and a control c c brasiliense seedling spaced in 3 m x 2 m intervals were place into a planting hole which had fertilizer incorporated for seedling establishment soil ghg were measured using the static chamber method placing chambers on the surface of the soil and taking measurements over time during 172 days in a dry season organic wastes ss and ssc treatments had significantly higher soil co2 fluxes than mineral fertilizer and control plots with soil co2 fluxes of 635 117 and 933 096 g c m2 day1 respectively the application of organic wastes promoted a drastic increase in soil n2o emissions treated with ssc 14119 mg 21 n m2 day1 p 001 which had a higher emission factor 211 average soil ch4 flux on collection days was 01 02 mg c m2 day1 although cumulative soil ch4 emissions over the 5 months study period was positive for the ss treatment demonstrating the potential emission of ghg from this treatment apparently the variation in fluxes between treatments with organic residues was influenced by differences in the physical and chemical compositions of the wastes and the amounts of labile carbon added c 2013 elsevier bv all rights reserved,136
Time since fire as a driver of taxonomic and phylogenetic patterns of grassland plant communities,fire plays a key role in grasslands determining the distribution and evolution of species and boundaries with neighboring ecosystems evidence of communitywide responses to fire is largely based on taxonomic and functional descriptors while the phylogenetic dimension is overlooked here we evaluated how the taxonomic and phylogenetic structure of grassland plant communities responded to a time since fire tsf gradient we sampled 12 communities in southern brazil under varying tsf and calculated taxonomic species richness s and dominance d phylogenetic diversity pd and mean phylogenetic distances mpd we used structural equation models to test the relationships between the environmental gradient and community descriptors communities with longer tsf presented higher pd and mpd but lower species richness and increased taxonomic dominance these sites were dominated by monocots specifically c4 grasses but also presented exclusive clades whereas recentlyburned sites presented lower taxonomic dominance and more species distributed in a wider variety of clades our results indicate that these scenarios are interchangeable and dependent on fire management fire adaptation was not constrained by phylogenetic relatedness contrasting with previous findings for tropical savannahs and indicating that temperate and tropical nonforest ecosystems from south america respond differently to fire possibly due to different evolutionary histories the authors 2024,137
Corn root and soil health indicator response to no-till production practices,crop production guidelines in brazil currently focus on soil fertility or chemical indicators ie soil ph and nutrient availability but often neglect physical and biological aspects of soil health notillage nt practices have been widely adopted in brazil primarily to mitigate erosion but chemicalbased guidelines associated with those practices may be contributing to nutrient stratification and a concentration of crop roots within the top few centimeters of the soil profile our objective was to quantify relationships between soil physical and chemical attributes and root growth in soils with a longterm nt history 10yr crop root development and several soil health indicators were measured within the 0 to 7 7 to 17 and 20 to 30cm depth increments of two longterm nt studies on rhodic hapludox soils in brazil data from both experiments showed strong organic carbon oc stratification significant differences in soil physical and chemical attributes and root systems that were concentrated within the surface layer soil compaction below 7cm appeared to be the dominant factor limiting root growth soiltest phosphorus p and oc were also correlated to root growth based on these analyses and other onfarm observations we concluded that it is important to recognize that despite its benefits nt practices can result in plant root stratification therefore it is important to not only monitor soil fertilitychemical conditions but also soil structure and biological indicators of soil health when developing nt guidelines for brazil,138
The diversity of post-fire regeneration strategies in the cerrado ground layer,disentangling species strategies that confer resilience to natural disturbances is key to conserving and restoring savanna ecosystems fire is a recurrent disturbance in savannas and savanna vegetation is highly adapted to and often dependent on fire however although the woody component of tropical savannas is well studied we still do not understand how groundlayer plant communities respond to fire limiting conservation and management actions we investigated the effects of prescribed fire on community structure and composition and evaluated which traits are involved in plant community regeneration after fire in the cerrado ground layer we assessed traits related to species persistence and colonization capacity after fire including resprouter type underground structure fireinduced flowering regeneration strategy and growth form we searched for functional groups related to response to fire to shed light on the main strategies of postfire recovery among species in the ground layer fire changed groundlayer community structure and composition in the short term leading to greater plant species richness population densities and increasing bare soil compared with unburned communities eight months after fire species abundance did not differ from predisturbance values for 86 of the species demonstrating the resilience of this layer to fire only one ruderal species was disadvantaged by fire and 13 of the species benefited rapid recovery of soil cover by native vegetation in burned areas was driven by species with high capacity to resprout and spread vegetatively recovery of the savanna groundlayer community as a whole resulted from a combination of different species traits we summarized these traits into five large groups encompassing key strategies involved in groundlayer regeneration after fire synthesis fire dramatically changes the ground layer of savanna vegetation in the short term but the system is highly resilient quickly recovering the prefire state recovery involves different strategies which we categorized into five functional groups of plant speciesgrassesseedersbloomersundergroundersandresprouters knowledge of these diverse strategies should be used as a tool to assess conservation and restoration status of fireresilient ecosystems in the cerrado,139
Floristic composition and edaphic relationships in ferruginous campo rupestre reference ecosystems,land use change and occupation have led to modifications in the environment causing loss of biodiversity and ecosystem services throughout the planet some environments with high economic relevance such as the ferruginous campo rupestre rupestrian grassland known as canga in brazil are even more susceptible to severe impacts due to their extreme habitat conditions and low resilience the determination of reference ecosystems based on the intrinsic characteristics of the ecosystem is essential for conservation as well as to the implementation of ecological restoration we proposed the reference ecosystem of the three main types of habitats of the ferruginous campo rupestre based on their floristic composition we described the floristic composition of each habitat and evaluated the physicochemical properties of the soils and the relationship between plants and soils all three habitats showed high diversity of plant species and many endemic species such as chamaecrista choriophylla cuphea pseudovaccinium lychnophora pinaster and vellozia subalata the distribution of vegetation was strongly related with the edaphic characteristics with a set of species more adapted to high concentration of base saturation fine sand organic carbon and iron while another set of species succeeded in more acidic soils with higher s and silt concentration we provide support for the contention that the ferruginous campo rupestre is a mosaic of different habitats shaped by intrinsic local conditions failure to recognize the floristic composition of each particular habitat can lead to inappropriate restoration increased habitat homogenization and increased loss of biodiversity and ecosystem services this study also advances the knowledge base for building the reference ecosystem for the different types of ferruginous campo rupestre habitats as well as a key database for highlighting those species contribute most to community assembly in this diverse and threatened tropical mountain ecosystem science press institute of mountain hazards and environment cas and springerverlag gmbh germany part of springer nature 2024,140
Management Recommendation Generation for Areas Under Forest Restoration Process through Images Obtained by UAV and LiDAR,evaluating and monitoring forest areas during a restoration process is indispensable to estimate the success or failure of management intervention and to correct the restoration trajectory through adaptive management however the field measurement of several indicators in large areas can be expensive and laborious and establishing reference values for indicators is difficult the use of supervised classification techniques of high resolution images combined with an expert system to generate management recommendations can be considered promising tools for monitoring and evaluating restoration areas the objective of the present study was to elaborate an expert system of management recommendation generation for areas under restoration which were monitored by two different remote sensors uav unmanned aerial vehicle and lidar light detection and ranging the study was carried out in areas under restoration with about 54 ha and five years of implementation owned by fibria celulose sa recently acquired by suzano sa in the southern region of bahia state brazil we used images from canon s110 nir green red near infrared on uav and lidar data compositions intensity image digital surface model digital terrain model normalized digital surface model the monitored restoration indicator entailed land cover separated into three classes canopy cover bare soil and grass cover the images were classified using the random forest rf and maximum likelihood ml algorithms and the area occupied by each land cover classes was calculated an expert system was developed in arcgis to define management recommendations according to the land cover classes and then we compared the recommendations generated by both algorithms and images there was a slight difference between the recommendations generated by the different combinations of images and classifiers the most frequent management recommendation was weed control plant seedlings 34 for all evaluated methods the image monitoring methods suggested by this study proved to be efficient mainly by reducing the time and cost necessary for field monitoring and increasing the accuracy of the generated management recommendations 2019 by the authors,141
